Zone Timestep,SURFACE 2:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 3:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 4:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 5:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 6:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2]
2006-Jan-01 00:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 00:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 01:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 02:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 03:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 04:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 05:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:20:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:30:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:40:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 06:50:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 07:00:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 07:10:00,0.0,0.0,0.0,0.0,0.0
2006-Jan-01 07:20:00,14.607277263540476,9.55723237826628,9.55723237826628,20.358681979050704,19.166666666666668
2006-Jan-01 07:30:00,12.705592065456788,11.890161636304363,11.890161636304363,13.567237723808802,23.0
2006-Jan-01 07:40:00,56.48395758959999,21.14909694140989,21.14909694140989,93.2113934771666,41.16262287323876
2006-Jan-01 07:50:00,85.69765212518531,29.58454485447067,29.58454485447067,140.37964624134807,62.221791595490835
2006-Jan-01 08:00:00,115.8820360645174,38.208424908691725,38.208424908691725,185.8589208039197,86.12141589190932
2006-Jan-01 08:10:00,162.12608633715223,48.25475134412923,48.25475134412923,254.93518832201664,112.7945203697104
2006-Jan-01 08:20:00,195.47635748720768,57.29601311835076,57.29601311835076,297.73246102267734,142.1634483704345
2006-Jan-01 08:30:00,230.02386242187782,66.36251260813457,66.36251260813457,338.86390561319166,174.14009643721508
2006-Jan-01 08:40:00,251.17059502695184,73.73518622735516,73.73518622735516,355.7597362910034,199.29658214645502
2006-Jan-01 08:50:00,272.8565113464855,81.07214890259989,81.07214890259989,371.6258447187842,225.36044319432472
2006-Jan-01 09:00:00,295.0197772545119,88.37036456879895,88.37036456879895,386.29224762964554,252.2732584455457
2006-Jan-01 09:10:00,317.61006790486937,95.6262889655324,95.6262889655324,399.62096211792795,279.9729274565252
2006-Jan-01 09:20:00,340.5832770653472,102.83608795033606,102.83608795033606,411.49447327926373,308.3938459763957
2006-Jan-01 09:30:00,363.89864383182936,109.99578540105605,109.99578540105605,421.80952166841706,337.4670919362603
